Comment,Cleaned,Sentiment,Score
Please complete 50 subscriber,please complete 50 subscriber,positive,0.23092
Vote for Minecraft video,vote minecraft video,neutral,0.0
Please bhai support Karo mujhe bhi 😢,please bhai support karo mujhe bhi,positive,0.36744000000000004
Kuen mein kud ke mere grandpa nahate Hain,kuen mein kud ke mere grandpa nahate hain,negative,-0.2
.,,neutral,0.0
Vote for GTA V 😢,vote gta v,neutral,0.0
Gta 5 fast new part ❤,gta 5 fast new part,positive,0.06727272727272728
Gta 5 ❤,gta 5,neutral,0.0
I am from ujjain,ujjain,neutral,0.0
Vote for GTA5 part 162,vote gta5 part 162,neutral,0.0
VOTE FOR GTA 5 😈😈😈,vote gta 5,neutral,0.0
Language Hindi honi chaiye,language hindi honi chaiye,neutral,0.0
"Kon kon girl hai mujhe lagta hai zyada boys honge jo girl hai vote kar 

Girls🩷                    boys🩵
   👇🏻                             👇🏻",kon kon girl hai mujhe lagta hai zyada boys honge jo girl hai vote kar girls boys,neutral,0.0
GTA5 please,gta5 please,positive,0.19091999999999998
GTA 5,gta 5,neutral,0.0
Vote for GTA NEXT PART,vote gta next part,neutral,0.0
संडेला टेक्नो गेमर घटिया व्हिडिओ संडास मे रहता है टेक्नो गेमर,,neutral,0.0
Aalu khaoge sadeli video,aalu khaoge sadeli video,neutral,0.0
Blue karni thi upar corner me hai,blue karni thi upar corner hai,neutral,0.0
Heyy I am from ujjain i feel  very proud broo ❤❤,heyy ujjain feel proud broo,positive,0.60602
GTA 5 gameplay video love,gta 5 gameplay video love,positive,0.58214
Vote gta 5 episode ❤,vote gta 5 episode,neutral,0.0
